agency_id,agency_name,agency_url,agency_timezone,agency_phone
ALLGO,allGo (Keolis),http://www.allgobus.nl,Europe/Amsterdam,003188-0331360
ARR,Arriva,https://www.arriva.nl,Europe/Amsterdam,0031800-0232545
BN,Blauwnet,http://www.blauwnet.nl,Europe/Amsterdam,
BRAVO:ARR,Bravo (Arriva),https://www.bravo.info,Europe/Amsterdam,0031800-0232545
BRAVO:CXX,Bravo (Hermes),http://www.bravo.info,Europe/Amsterdam,0031800-0222277
BRENG,Breng,http://www.breng.nl,Europe/Amsterdam,003126-2142140
CXX,Connexxion,http://www.connexxion.nl,Europe/Amsterdam,0031900-2666399
DOEKSEN,Rederij Doeksen,https://www.rederij-doeksen.nl/,Europe/Amsterdam,+31889000888
EBS,EBS,https://www.rrreis.nl,Europe/Amsterdam,085-2085212
GVB,GVB,http://www.gvb.nl,Europe/Amsterdam,0031900-8011
HERMES,Hermes,http://www.hermes.nl,Europe/Amsterdam,0031800-0222277
HTM,HTM,https://htm.nl/klantenservice/,Europe/Amsterdam,+319004864636
IFF:ARRIVA,Arriva,https://www.arriva.nl,Europe/Amsterdam,0031900-2022022
IFF:BN,Blauwnet,http://www.blauwnet.nl,Europe/Amsterdam,0031314350111
IFF:BRENG,Breng,http://www.breng.nl,Europe/Amsterdam,003126-2142140
IFF:DB,DB,http://www.db.de,Europe/Amsterdam,+491806996633
IFF:EB,Eurobahn,https://www.eurobahn.de,Europe/Amsterdam,+4934191354042
IFF:EU SLEEPER,Eu Sleeper,https://www.europeansleeper.eu/,Europe/Amsterdam,0031302035833
IFF:NMBS,NMBS,http://www.nmbs.be,Europe/Amsterdam,+3225282828
IFF:NS,NS,http://www.ns.nl,Europe/Amsterdam,003130-7515155
IFF:NS INT,NS Int,http://www.nsinternational.nl,Europe/Amsterdam,0031302300023
IFF:RNET,R-net,http://www.connexxion.nl,Europe/Amsterdam,0031900-2666399
IFF:RRREIS,RRReis,https://www.rrreis.nl,Europe/Amsterdam,+31852085212
IFF:VIAS,VIAS,https://www.vias-online.de/,Europe/Amsterdam,+49069450099650
NL:EBS:Branding:EBS-HGL,EBS-HGL,https://www.ebs-ov.nl,Europe/Amsterdam,049-5513224
NL:EBS:Branding:EBS-VPR,EBS-VPR,https://www.ebs-ov.nl,Europe/Amsterdam,049-5513225
NL:EBS:Branding:MeerPlus,MeerPlus,https://www.meerplus.nl,Europe/Amsterdam,088-8628208
QBUZZ,Qbuzz,http://www.qbuzz.nl,Europe/Amsterdam,0031900-7289965
RET,RET,http://www.ret.nl,Europe/Amsterdam,0031900-5006010
RRREIS,RRReis,https://www.rrreis.nl/,Europe/Amsterdam,003185-2085212
SYNTUS:UT,Syntus Utrecht,http://www.syntusutrecht.nl,Europe/Amsterdam,003188-0331360
TESO,TESO,http://www.teso.nl/,Europe/Amsterdam,0031222369600
TRANSDEV,Transdev,http://www.transdev.nl,Europe/Amsterdam,00319008686
UOV,U-OV,http://www.u-ov.info,Europe/Amsterdam,0031900-5252241
WATERBUS,Waterbus,http://www.example.com,Europe/Amsterdam,
WPD,Wagenborg Passagiersdiensten,https://www.wpd.nl/,Europe/Amsterdam,+31881031000
WSF,Westerschelde Ferry,https://westerscheldeferry.nl/,Europe/Amsterdam,+31850401800
ZTM:Operator:ZTM,ZTM,http://www.example.com,Europe/Amsterdam,
