Name;Hoeveelheid artsen;Adres;lat;lng
Wiersma-van der Hulst Huisartsen;2;Haagweg 60, Leiden;;
Huisartspraktijk Vreehof – Backes & Dekker;2;Witte Rozenstraat 21A, Leiden;;
Huisartsenpraktijk Cazander;2;Bloemistenlaan 45A, Leiden;;
Huisartsenpraktijk op 11;3;Reina Prinsen Geerligspad 11, Leiden;;
Huisartspraktijk Bevrijdingsplein;2;Bevrijdingsplein 31, Leiden;;
Huisartsencentrum Leiden, Huisartsenpraktijk R.A. van Randeraat;1;Oosterkerkstraat 1, Leiden;;
Jonkers en Otten, huisartsenzorg;2;Vondellaan 35a, Leiden;;
Huisartsenpraktijk W.E. Schrader;1;Zoeterwoudsesingel 11, Leiden;;
Zuiderpraktijk;3;Lammenshansweg 15b, Leiden;;
Huisartsenpraktijk Minken;4;Bronkhorststraat 43-45, Leiden;;
Huisartsenpraktijk Roomburgh;4;Hof van Roomburgh 4, Leiden;;
De Singel Huisartsen, Praktijk Sanders;2;Lusthoflaan 2, Leiden;;
Huisartsencentrum Leiden, Huisartsenpraktijk Bloem en Van Berkel;2;Oosterkerkstraat 1, Leiden;;
Huisartsenpraktijk Zwaan;1;Rijnsburgerweg 163, Leiden;;
Huisartsenpraktijk Meskers;2;Robijnstraat 2b, Leiden;;
Huisartsencentrum Leiden, Huisartsenpraktijk Boels;1;Oosterkerkstraat 1, Leiden;;
Huisartsenpraktijk Stevenshof;4;Theda Mansholtstraat 3, Leiden;;
Huisartsenpraktijk Pluimgras;2;Pluimgras 44, Leiden;;
Huisartsenpraktijk Piest;2;Cornelis Schuytlaan 9, Leiden;;
Huisartspraktijk A.M. van den Braken;3;Dieperpoelllaan 28k, Leiden;;
Huisartsenpraktijk Boender;1;Dieperpoelllaan 28, Leiden;;
Gezondheidscentrum Vondellaan, Huisartsenpraktijk De Vondel;2;Vondellaan 35a, Leiden;;
Huisartsen Centrum Roodenburg;3;Roodenburgerstraat 1a, Leiden;;
Huisartsen De Laat de Kanterstraat;3;De Laat de Kanterstraat 32, Leiden;;
Huisartsenpraktijk Vernhout;2;Dahliastraat 26, Leiden;;
Huisartsenpraktijk 't Joppe;4;Zwartemeerlaan 44, Leiden;;
Huisartsenpraktijk Wendel en van Heezik;2;Lammenshansweg 15c, Leiden;;
Huisartspraktijk A. Goslinga;1;Lusthoflaan 2, Leiden;;
Huisartsenpraktijk Zuidwest;2;Brahmslaan 12, Leiden;;
Praktijk Boshuizen;2;Aaltje Noordewierlaan 58, Leiden;;
Gezondheidscentrum Merenwijk, Huisartsen;6;Rosmolen 2, Leiden;;
De Singel Huisartsen, Praktijk Weijenborg;2;Lusthoflaan 2, Leiden;;
Huisartsenpraktijk Prinsenstraat;2;Prinsenstraat 5, Leiden;;
Huisartsencentrum Leiden, Huisartsenpraktijk Siegman;3;Oosterkerkstraat 1, Leiden;;
Huisartsenpraktijk Hortus;4;Rijn en Schiekade 16, Leiden;;
Huisartsenpraktijk Vrijheidslaan;3;Vrijheidslaan 37, Leiden;;
Huisartspraktijk J. Lindenhovius;2;Arubapad 52, Leiden;;
